# Business English — 240 từ
# Định dạng: từ|phiên âm|nghĩa tiếng Việt
# Dòng bắt đầu bằng # là chú thích, máy bỏ qua.

# --- Họp hành & đàm phán ---
agenda|/əˈdʒendə/|chương trình nghị sự
negotiate|/nɪˈɡəʊʃieɪt/|đàm phán, thương lượng
leverage|/ˈliːvərɪdʒ/|đòn bẩy, lợi thế
concession|/kənˈseʃn/|sự nhượng bộ
stakeholder|/ˈsteɪkhəʊldə/|bên liên quan
consensus|/kənˈsensəs/|sự đồng thuận
adjourn|/əˈdʒɜːn/|hoãn, tạm nghỉ (cuộc họp)
minutes|/ˈmɪnɪts/|biên bản cuộc họp
quorum|/ˈkwɔːrəm/|số đại biểu tối thiểu
deadlock|/ˈdedlɒk/|bế tắc
compromise|/ˈkɒmprəmaɪz/|thoả hiệp
mediate|/ˈmiːdieɪt/|làm trung gian hoà giải
proposal|/prəˈpəʊzl/|đề xuất
counteroffer|/ˈkaʊntərɒfə/|đề nghị đối lại
bargaining power|/ˈbɑːɡɪnɪŋ ˈpaʊə/|sức mạnh mặc cả
walk away|/wɔːk əˈweɪ/|rút khỏi đàm phán
common ground|/ˈkɒmən ɡraʊnd/|điểm chung
deliverable|/dɪˈlɪvərəbl/|sản phẩm bàn giao
follow up|/ˈfɒləʊ ʌp/|theo dõi tiếp
brainstorm|/ˈbreɪnstɔːm/|động não, nghĩ ý tưởng
facilitate|/fəˈsɪlɪteɪt/|điều phối, tạo điều kiện
clarify|/ˈklærɪfaɪ/|làm rõ
recap|/ˈriːkæp/|tóm tắt lại
table a motion|/ˈteɪbl ə ˈməʊʃn/|đưa ra kiến nghị
veto|/ˈviːtəʊ/|quyền phủ quyết
unanimous|/juˈnænɪməs/|nhất trí hoàn toàn
abstain|/əbˈsteɪn/|bỏ phiếu trắng
escalate|/ˈeskəleɪt/|đẩy lên cấp cao hơn
align|/əˈlaɪn/|thống nhất quan điểm
buy-in|/ˈbaɪ ɪn/|sự ủng hộ, đồng thuận

# --- Tài chính & kế toán ---
revenue|/ˈrevənjuː/|doanh thu
profit margin|/ˈprɒfɪt ˈmɑːdʒɪn/|biên lợi nhuận
overhead|/ˈəʊvəhed/|chi phí quản lý chung
asset|/ˈæset/|tài sản
liability|/ˌlaɪəˈbɪləti/|nợ phải trả
equity|/ˈekwəti/|vốn chủ sở hữu
cash flow|/kæʃ fləʊ/|dòng tiền
balance sheet|/ˈbæləns ʃiːt/|bảng cân đối kế toán
depreciation|/dɪˌpriːʃiˈeɪʃn/|khấu hao
amortisation|/əˌmɔːtaɪˈzeɪʃn/|phân bổ dần
audit|/ˈɔːdɪt/|kiểm toán
invoice|/ˈɪnvɔɪs/|hoá đơn
receivable|/rɪˈsiːvəbl/|khoản phải thu
payable|/ˈpeɪəbl/|khoản phải trả
turnover|/ˈtɜːnəʊvə/|doanh thu; tỷ lệ nghỉ việc
